,age,anagrams1,anagrams2,anagrams3,anagrams4,backcount1,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,backcount10,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,highpower,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04
10,19,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,7.0,7.0,8.0,7.0,8.0,2,"One time one of my friends came to me asking if i wanted to go to a movie with him and he really wanted to go but was only allowed if he took one other person. I was the final say and my decision would choose the outcome of either him watching this movie he wanted to see or not see it at all. I felt bad that i could not go, therefore taking away his chance of seeing it that night.",2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,3.0,3.0
11,20,party,fatal,niceo,colea,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,5.0,5.0,2.0,5.0,3.0,6.0,3.0,4.0,2.0,7.0,8.0,7.0,6.0,6.0,1,,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0
12,18,patry,falat,cione,laceo,357,330.0,354,351,348,245,342,339,336.0,333.0,7.0,3.0,7.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,6.0,3.0,1.0,4.0,5.0,1,,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0
13,19,party,,,,,330.0,354,351,348,345,342,339,336.0,333.0,4.0,3.0,6.0,4.0,7.0,2.0,7.0,3.0,7.0,4.0,6.0,6.0,5.0,6.0,5.0,1,"I babysat for my job, and it helped give me experience for becoming a teacher. I think it was a good experience and I was able to do a good job. I have been babysitting since my freshman year in high school and over time I became more comfortable in doing my job.",2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0
14,18,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,4.0,1.0,6.0,1.0,7.0,5.0,6.0,1.0,7.0,4.0,7.0,6.0,7.0,8.0,6.0,1,"One time I was put in charge of training a co worker who had just started working at my place of work. It wasn't really a memorable experience, I just showed them how to do some things and had them come back to me if they had any questions. Everything went smoothly and they seemed to catch on pretty fast.",1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,7.0,5.0,6.0,6.0,6.0,2.0,6.0,1.0,4.0,4.0,6.0,6.0,5.0,7.0,5.0,1,"There have been several times where I have felt to be in the position of power with my sibling. We are 7 years apart and I am the younger one. All our lives I wanted to be in control and have anything she wanted or I wanted to have more than she had. On her birthday one year, I decided to run away because no one was giving me attention, remind you I was around the age of 7. After becoming the center of attention once no one knew where I was, I felt horrible. I realized that there was no reason I should have acted that way. I cried, and I apologized to my entire family. Not only for acting out of character but because I did indeed scare everyone.",2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0
18,21,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,2.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,1,"I am currently working as a manager and that position is one of power. I am the leader, the head, the boss of the other student workers. On a daily basis I have to delegate tasks to my fellow workers. The weird part about this is that they are my employees in a sense but they are also fellow students. We are on the same level, but not at the same time. Sometimes I do feel bad giving tasks out to them because I could just do them myself, but it is my job to delegate and if I do not have the time to oversee and do the task then I have to have them do it. But every task I give someone I make sure I can do myself and would be willing to do myself.",3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0
19,18,Party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,5.0,7.0,4.0,5.0,6.0,7.0,1.0,7.0,1.0,9.0,7.0,7.0,4.0,7.0,1,,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0
20,18,party,fatal,conie,,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,3.0,7.0,2.0,6.0,5.0,6.0,2.0,7.0,2.0,8.0,8.0,9.0,9.0,9.0,2,This situation was over the summer when I was in a management position.  I enjoyed my time very much and I feel I help new people learn what they were suppose to know well and was able to communicate well with them.,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,5.0,4.0,2.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18,party,flata,conei,caelo,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,2.0,7.0,5.0,7.0,5.0,6.0,3.0,5.0,2.0,9.0,9.0,8.0,7.0,8.0,1,"In high school I was the captain of our girls varsity basketball team. I was voice for both the coaches and my teammates when relaying information and goals for the team. I made sure my teammates were on time to practices and games, understand deadlines and expectations, and made sure we worked together as one unit. I know at times my teammates might have been frustrated with me when I pushed them harder in practice, but I know that it was improving them and our team success as a whole. I had to be forceful, understanding, and have a good sense of leadership and listening when being in this position.",4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,3.0,6.0,2.0,4.0,4.0,2.0
24,19,party,fatal,encio,acelo,357,328.0,354,351,348,345,341,338,335.0,331.0,5.0,3.0,6.0,5.0,5.0,4.0,5.0,1.0,4.0,4.0,7.0,6.0,5.0,6.0,6.0,1,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0
25,18,,,,,357,327.0,354,351,348,345,342,339,336.0,330.0,4.0,3.0,6.0,6.0,5.0,6.0,6.0,2.0,3.0,3.0,7.0,7.0,8.0,7.0,9.0,1,One time I was helping out with an event in ice skating. All the younger kids were coming up to me because I was the person who was in charge. They would come to me if they needed help or had any questions. Being in power made me feel like I was in charge and I felt important.,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0
26,18,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,5.0,6.0,5.0,3.0,3.0,5.0,2.0,4.0,2.0,5.0,6.0,6.0,7.0,6.0,1,In high school i was in charge of organizing my schools homecoming dance. I had final say on a lot of the things going into the planning. I felt like i had to much control and it was very overwhelming at times.,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,4.0,3.0,3.0,4.0
27,18,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,2.0,4.0,6.0,7.0,5.0,5.0,6.0,5.0,2.0,1.0,9.0,6.0,7.0,7.0,9.0,1,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0
28,18,party,,coine,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,4.0,6.0,6.0,3.0,7.0,7.0,1.0,3.0,1.0,9.0,8.0,9.0,8.0,9.0,1,,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,5.0
29,,tapry,fatal,conie,caleo,357,330.0,354,351,348,345,342,339,336.0,333.0,4.0,5.0,5.0,3.0,6.0,5.0,6.0,4.0,3.0,5.0,6.0,7.0,3.0,7.0,7.0,19,"I am a manager at a store and so one day, one of the associates was not doing what I asked of them so I pulled them aside, told them they could clock out and leave and called in another associate who would do as they were asked.",3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,4.0,3.0
30,18,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,5.0,6.0,5.0,7.0,3.0,6.0,5.0,6.0,2.0,7.0,7.0,8.0,8.0,9.0,1,I was in a position of power during cheerleading tryouts for a club team and I was in charge of choosing girls for my own team. I felt bad for the people who weren't very good but I had to exclude them from my team. I was in their position once so I know they will be okay and if they are unhappy then hopefully they will work harder. I don't usually like having all of the power but I want things to be organized and exactly how i wanted them.,3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0
31,18,party,lafat,oncie,laceo,357,330.0,354,351,348,345,342,339,336.0,333.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,1.0,2.0,4.0,6.0,5.0,5.0,5.0,6.0,2,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,4.0
32,18,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,3.0,3.0,6.0,4.0,3.0,4.0,5.0,1,"Junior year of high school I was the manager of an art club event to set up the junior/senior prom. I had the ability to set people in certain positions and to do certain tasks to get our prom decorated and ready for the big night. I was entitled to critique their abilities and also set them somewhere else to do a different task if I didn't see it fit. It made me nervous being in such a position. I was very uncomfortable having to replace people once they started working and was afraid to hurt another person's feelings. It was exciting to participate and what all of it come together, but the power wasn't something I liked.",3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0
33,20,trap,flat,once,lace,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,1,I worked at a retail store and I had to train new employees. I liked the feeling because i knew what I was doing and it felt good to help others learn something new.,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,6.0,3.0,4.0,2.0,4.0
34,18,,,,,357,331.0,354,351,348,345,343,340,337.0,334.0,6.0,4.0,5.0,4.0,7.0,3.0,6.0,1.0,6.0,2.0,4.0,5.0,5.0,5.0,6.0,1,"Babysitting. I felt important. Yet, I felt that if I wasn't in charge something bad would happen. I had to be good at being in charge otherwise I would lose my job.",2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0
35,18,party,fatal,,,357,330.0,354,351,348,345,342,339,336.0,333.0,2.0,5.0,6.0,4.0,7.0,2.0,5.0,2.0,6.0,2.0,7.0,3.0,1.0,5.0,6.0,1,"My brother wanted to move back in and my mom left it up to me to decide whether he did or not. We do not get along at all. I felt like I could finally get what I wanted with him, to not have him around anymore.",2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,6.0,1.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0
36,19,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,7.0,2.0,6.0,5.0,6.0,2.0,6.0,1.0,4.0,2.0,6.0,5.0,4.0,4.0,6.0,1,"I felt in control because I decided what happened during that time period. Also, I controlled what the people around me were doing.",3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0
37,18,Party,Fatal,,,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,7.0,6.0,6.0,7.0,5.0,6.0,1.0,6.0,1.0,8.0,7.0,7.0,6.0,7.0,1,"I am a member of the campus activities board here on campus. Our job is to find exciting events to bring here on campus through concerts and comedians, many different fun things. The last position of power I was put in was at the Mayday parade concert. The stage provided did not have a wall to block the students from climbing up on stage, so fellow cab members and myself were in charge of security. We had the position of power to stand at the foot of the stage, in front of all the fans and make sure no one touched the stage but us cab members. By doing so, we were put in a position of power and controlled the other students.",2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,3.0
38,18,party,,,,357,328.0,354,351,348,345,341,338,335.0,331.0,6.0,2.0,6.0,2.0,5.0,5.0,6.0,1.0,6.0,3.0,9.0,7.0,9.0,8.0,8.0,1,"I was babysitting my cousins who were around three and five years old. I felt like I was in control and that I had the power to tell them yes or no. However, all of that power was kind of nerveracking because I had full responsibility for those kids and if something happened to them I would be in trouble and never have that power again. On the other hand, I felt like I was in control and that was a good feeling.",2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,4.0,2.0
39,18,party,alfat,noice,leaco,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,5.0,7.0,3.0,6.0,1.0,7.0,2.0,5.0,4.0,7.0,5.0,6.0,4.0,4.0,2,,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0
40,20,party,fatal,,,357,330.0,354,351,348,345,342,339,336.0,333.0,3.0,4.0,6.0,2.0,5.0,6.0,7.0,2.0,5.0,1.0,6.0,6.0,3.0,5.0,6.0,1,,2.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0
41,18,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,3.0,1.0,6.0,1.0,6.0,6.0,6.0,2.0,6.0,3.0,4.0,5.0,7.0,7.0,5.0,1,"I work for a foot doctor and when it was time for me to come to college, they had to hire someone to replace me. When they found someone to replace me, it was my job to help train them. I had the power to control what the person who replaced me was learning. It was different for me because I wasn't used to having power. I was nervous and hoped I was doing a good job at training her.",3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,7.0,4.0,4.0,4.0,2.0
42,18,Part,flat,once,lace,357,330.0,354,351,348,345,342,339,336.0,333.0,7.0,6.0,6.0,1.0,6.0,1.0,7.0,1.0,7.0,1.0,7.0,9.0,8.0,8.0,9.0,2,,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,1.0,1.0,3.0,7.0,3.0,5.0,5.0,2.0
43,18,party,,cone,lace,357,330.0,354,351,348,345,342,339,336.0,333.0,6.0,6.0,5.0,3.0,6.0,4.0,5.0,3.0,6.0,2.0,8.0,8.0,9.0,7.0,7.0,1,"Working as a server in an Assisted Living, I was frequently appointed to the position of training new incoming employees. This event was where I taught them how to the job, and how to do it well. Being in this position, I enjoyed telling people what to do and how to do it correctly. I feel that I do a great job as a server and I want to train people how I work because it is the best way to do it. Throughout my time working at this Assisted Living, I trained many people and I enjoyed it because I was able to see them thrive, thanks to my leadership.",3.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,4.0,4.0,3.0,5.0
44,18,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,6.0,7.0,3.0,5.0,6.0,6.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,1,,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0
45,19,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,7.0,7.0,7.0,5.0,2.0,7.0,1.0,6.0,2.0,8.0,7.0,7.0,9.0,8.0,2,"Recently, one of my friends told me that they wanted to lose weight. Since I have extensive knowledge on the subject of nutrition and exercise, he came to me for advice on how to achieve his goal. I'm a calorie counter, so I believe that calorie counting is the overall best way to go in terms of achieving any fitness related goal. While sharing my knowledge with him and telling him the next steps he needs to take, I felt as if I had the power of knowledge that he needed in order to accomplish his goals. It felt good sharing what I know and explaining myself on the subject. He has been trying to calorie count lately, and seeing him taking my advice and trying so hard makes me feel good, and the feeling of helping someone out based on what I know is something that satisfies me.",2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,1.0,3.0,6.0,2.0,3.0,3.0,3.0
46,18,,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,5.0,7.0,6.0,5.0,6.0,7.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,1,,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,4.0
47,19,party,,,,357,330.0,354,351,348,345,342,339,336.0,333.0,5.0,3.0,7.0,2.0,6.0,6.0,6.0,1.0,5.0,2.0,7.0,4.0,7.0,6.0,6.0,2,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0,5.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
